Question,Level,RightAnswers,Answer1,Answer2,Answer3,Answer4,Answer5,Answer6,Answer7,Answer8,
What are the advantages of ASP.NET MVC over ASP.NET(Web Forms)?,3,1;3;4;5,"Provides a clean separation of concerns among UI (Presentation layer), model (Transfer objects/Domain Objects/Entities) and Business Logic (Controller).",MVC is pay free framework unlike ASP.NET(Web Forms),Easy to UNIT Test.,Improved reusability of model and views. We can have multiple views which can point to the same model and vice versa.,Improved structuring of the code.,In MVC was added multithreading functionality.,,,
How Razor View looks like?,1,2,"<%foreach (var student in Students){ %>
   <% if (student.IsPassed){ %>
      <% = student.FirstName%> is going to next grade.
   <% } else{ %>
      <% = student. FirstName %> is not going to next grade.
   <% } %>
<% } %>"," @foreach (var student in Students){
   @if(student.IsPassed){
      @student. FirstName is going to next grade.
   } else {
      @student. FirstName is not going to next grade.
   }
}"," @type=IEnumerable<Product>
- if(model.Any())
  %ul
    - foreach (var p in model)
      %li= p.Name
- else
  %p No products available","#foreach ($p in $viewdata.Model)
#beforeall
    <ul>
#each
    <li>$p.Name</li>
#afterall
    </ul>
#nodata 
    <p>No products available</p>
#end","<c:if test=""${not fn:empty(Page.Tiles)}"">
  <p class=""note"">
    <fmt:message key=""page.tilesSupport""/>
  </p>
</c:if>",,,,
"What Will Be The Output Of The Following Code Snippet:
using System;
public class Program
    {
        public static void Main(string[] args)
        {
            Console.WriteLine(Math.Round(6.5));
            Console.WriteLine(Math.Round(11.5));
        }
    }",3,1,6 12,6 11,7 12,7 11,,,,,
"What Will Be The Output Of The Following Code Snippet:
using System;
public class Program
    {
        public static void Main(string[] args)
        {
            int[] i = new int[0];
            Console.WriteLine(i[0]);
        }
    }",3,2,0,IndexOutOfRangeException,Nothing is printed as array is empty,1,,,,,
"What Will Be The Output Of The Following Code Snippet:
using System;
public class Program
    {
        public static void Main(string[] args)
        {
        #if (!pi)
                    Console.WriteLine(""i"");
        #else 
                    Console.WriteLine(""PI undefined"");
        #endif
            Console.WriteLine(""ok"");
            Console.ReadLine();
        }
    }",2,2,ok,"i
ok","PI undefined
ok",Error,,,,,
"What Will Be The Output Of The Following Code Snippet:
using System;
public class Program
    {
     public static void Main(string[] args)
        {
        int[] arr = new int[2];
        arr[1] = 10;
        Object o = arr;
        int[] arr1 = (int[])o;
        arr1[1] = 100;
        Console.WriteLine(arr[1]);
        ((int[])o)[1] = 1000;
        Console.WriteLine(arr[1]);
        }
    }",2,4,"10
10","10
100","10
1000","100
1000",,,,,
"What Will Be The Output Of The Following Code Snippet:
using System;
public class Program
    {
        public static void Main(string[] args)
        {
            String a = ""TechBeamers"";
            String b = ""TECHBEAMERS"";
            int c;
            c = a.CompareTo(b);
            Console.WriteLine(c);
        }
     }",2,1,-1,1,0,Error,,,,,
"What Will Be The Output Of The Following Code Snippet:
using System;
public class Program
    {      
      public static void Main(string[] args)
        {
          char x = 'A';
           int i = 0;
          Console.WriteLine (true  ? x : 0);
          Console.WriteLine(false ? i : x); 
        }
    } ",2,3,"true
false","1
0","65
65",Error,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
